last_name, first_name,year,player_age,pitch_hand,n,fastball_avg_speed,fastball_avg_spin,fastball_avg_break,breaking_avg_speed,breaking_avg_spin,breaking_avg_break,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break,
Yarbrough, Ryan,2019,28,L,2057,85.7,2101,12.7,72.8,2405,15.1,79.5,2123,18.7,
Trivino, Lou,2019,28,R,953,95.3,2245,14,79.8,2505,15,87.6,1765,17.3,
Stroman, Marcus,2019,28,R,3046,91.9,2452,10.9,85.4,2833,11.8,87,1929,15.8,
Sanchez, Anibal,2019,35,R,2689,89.3,2251,16.1,78.9,2180,5.8,82.1,1670,15.9,
Sale, Chris,2019,30,L,2465,93.1,2363,19.5,79,2492,14.9,85.2,1965,19.2,
Price, David,2019,34,L,1861,91.1,2197,17.1,80.4,2264,5.6,84.1,1800,17.6,
Peralta, Freddy,2019,23,R,1599,93.6,2454,17.6,77.2,2424,13.3,89.9,1966,16.2,
Paddack, Chris,2019,23,R,2280,93.9,2230,19.7,76.1,2145,14.4,84.5,1707,15.4,
Norris, Daniel,2019,26,L,2360,90.7,2365,18.3,82.4,2518,8.6,85.7,1568,12.6,
Morton, Charlie,2019,36,R,3138,92.8,2237,16.7,78.6,2886,20.9,84.9,2124,20.4,
Milone, Tommy,2019,32,L,1670,87.1,2192,20.5,77.5,2389,6,79.4,1745,17.7,
Lopez, Jorge,2019,26,R,2049,94.1,1917,17.8,82.8,2410,12.3,87.5,1574,15.8,
Lester, Jon,2019,35,L,3041,89.1,2302,14,74.5,2606,12.6,84.3,1939,15.3,
Leake, Mike,2019,32,R,2968,87.6,2131,9.9,79.9,2533,11.9,84,1719,12.9,
Law, Derek,2019,29,R,1193,94,2132,15.2,81.6,2160,8.3,85.8,2014,17.9,
Lamet, Dinelson,2019,27,R,1232,96,2398,17.6,85.7,2694,9.3,92.2,1802,18.7,
Jackson, Luke,2019,28,R,1253,96.1,2304,18.6,87.1,2585,9,83.7,2134,18.9,
Hudson, Daniel,2019,32,R,1217,96.1,2467,17.9,86.7,2642,4.3,88.6,2383,21.5,
Hudson, Dakota,2019,25,R,2846,93.6,2141,14.4,85.9,2364,6,88.1,1459,14.1,
Guerra, Junior,2019,34,R,1351,94.7,2409,19.7,82.1,2651,11.1,86,1235,14.4,
Givens, Mychal,2019,29,R,1092,95.3,2383,16.1,87.1,2476,7.2,84.7,2101,13.7,
Gausman, Kevin,2019,28,R,1643,93.9,2250,19.1,82.1,2264,4.8,83.5,1593,15,
Fedde, Erick,2019,26,R,1287,91,1870,10.5,79.2,2355,13.2,85.3,1624,12.1,
Clarke, Taylor,2019,26,R,1511,93.6,2295,18.4,83.7,2298,7.6,86.8,1520,16.7,
Chen, Wei-Yin,2019,34,L,1151,91.3,2134,17.2,80,2295,11.7,84,1372,13.8,
Chatwood, Tyler,2019,30,R,1285,95.1,2531,16.8,81.4,3092,16.8,87.7,1789,15.2,
Boyd, Matthew,2019,28,L,3024,92,2381,18.2,78.9,2363,6.5,79.1,1956,16.3,
Armstrong, Shawn,2019,29,R,1132,92.3,2545,15.7,83,2863,13.6,,,,
Young, Alex,2019,26,L,1324,87.6,2265,15.1,81.5,2379,4.8,84.5,1794,15.3,
Workman, Brandon,2019,31,R,1244,90.7,2151,13.3,80.6,2608,17.6,,,,
Weaver, Luke,2019,26,R,1053,92.5,2288,16.5,81.3,2216,8.7,84.5,1572,13.5,
Suero, Wander,2019,28,R,1210,92.9,2553,12.4,79.5,2829,17.5,87.5,2101,12.6,
Strahm, Matt,2019,28,L,1789,91.5,2308,19.3,83.8,2492,8.3,84.3,2086,18.2,
Scherzer, Max,2019,35,R,2769,94.2,2470,17.4,83.5,2472,6.8,84.3,1551,16.1,
Ray, Robbie,2019,28,L,3058,92.4,2243,19.7,83.3,2110,5,,,,
Plutko, Adam,2019,28,R,1794,91.1,2265,19.1,83.2,2590,10.4,84.1,1630,15.1,
Plesac, Zach,2019,24,R,1892,93.9,2133,19.1,83,2003,7.2,85.8,1543,14.9,
Paxton, James,2019,31,L,2663,93.6,2217,15.9,81.1,2013,8.1,86.2,2073,14.3,
Leclerc, Jose,2019,26,R,1275,96.7,2616,18,81.8,2712,11.5,89.8,2206,17.8,
Lambert, Peter,2019,22,R,1581,92.7,2256,17,82.6,2222,11.1,85.2,1534,12.2,
Hendriks, Liam,2019,30,R,1317,96.4,2377,19.6,87.4,2145,7.1,,,,
Guerra, Javy,2019,34,R,1076,92.7,2089,19.2,83.8,2145,7.5,83.6,1575,15.8,
Gsellman, Robert,2019,26,R,1072,95.3,2207,20.4,87.7,2527,9.4,87.2,1748,18.9,
Gray, Sonny,2019,30,R,2807,93.2,2493,15.3,83.1,2934,18.5,89.7,2047,16.3,
Gray, Jon,2019,28,R,2372,96,2060,16,85.9,2294,7.6,86.7,1559,13.4,
Gonzalez, Chi Chi,2019,27,R,1145,90.4,2446,10,82,2632,5.5,86.5,1708,12.9,
Gant, John,2019,27,R,1085,94.9,2515,18.4,77.1,2653,18,83.1,1509,14.2,
Fiers, Mike,2019,34,R,2837,90.3,2297,20.8,79.9,2630,16,84.1,1933,18,
Farmer, Buck,2019,28,R,1155,95,2346,20.5,82.4,2657,4,88.1,1800,16.3,
Cortes, Nestor,2019,25,L,1242,89.5,2184,19.3,81.1,2314,7.1,82.4,1461,15.3,
Castillo, Luis,2019,27,R,3069,96.4,2130,18.7,85.9,2330,2.1,87.2,1972,17.3,
Canning, Griffin,2019,23,R,1552,93.9,2335,20.2,86.4,2477,8.8,89.1,1671,18,
Bumgarner, Madison,2019,30,L,3239,89.6,2441,13.9,78.8,2645,12.8,84.2,1641,15.9,
Buehler, Walker,2019,25,R,2831,95.9,2491,17.1,84,2891,15.1,91.5,1516,14.5,
Bieber, Shane,2019,24,R,3223,93.1,2254,19.7,84,2341,7.2,87.6,1725,17.5,
Bedrosian, Cam,2019,28,R,1014,92.9,2377,18.1,83.2,2630,6.7,86.1,1791,19.2,
Arrieta, Jake,2019,33,R,2192,92.4,2197,19,84.9,2575,13.8,87.5,1730,17.3,
