,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,FIRSTNAME,LASTNAME
0,J.D.J MartinezMartinez,BOS,--,141,38,57,9,1,19,40,25,31,1,0,0.404,0.494,0.887,1.381,J.D.,Martinez
1,NelsonN CruzCruz,MIN,--,115,26,37,5,0,16,29,20,29,0,0,0.322,0.424,0.7829999999999999,1.207,Nelson,Cruz
2,AlexA BregmanBregman,HOU,--,163,36,57,14,1,16,38,28,23,1,0,0.35,0.443,0.742,1.186,Alex,Bregman
3,NickN CastellanosCastellanos,CHC,--,108,22,40,13,0,8,19,10,16,0,0,0.37,0.425,0.713,1.138,Nick,Castellanos
4,OzzieO AlbiesAlbies,ATL,--,149,29,58,9,1,11,33,6,20,3,0,0.389,0.414,0.685,1.099,Ozzie,Albies
5,MannyM MachadoMachado,SD,--,127,19,40,6,1,13,27,18,26,2,2,0.315,0.404,0.685,1.089,Manny,Machado
6,DJD LeMahieuLeMahieu,NYY,--,160,32,60,11,0,10,31,17,23,3,1,0.375,0.435,0.631,1.0659999999999998,DJ,LeMahieu
7,JoseJ AltuveAltuve,HOU,--,130,27,43,10,1,11,22,9,16,2,1,0.331,0.38,0.677,1.057,Jose,Altuve
8,KrisK BryantBryant,CHC,--,105,23,31,6,1,9,20,23,28,1,0,0.295,0.426,0.629,1.055,Kris,Bryant
9,0AnthonyA RendonRendon3,WSH,--,136,38,43,9,1,10,26,26,27,3,0,0.316,0.433,0.618,1.05,0Anthony,Rendon
10,NolanN ArenadoArenado,COL,--,162,34,51,7,1,13,30,27,29,1,2,0.315,0.416,0.611,1.027,Nolan,Arenado
11,JoseJ AbreuAbreu,CWS,--,164,27,59,11,0,9,31,12,31,0,1,0.36,0.418,0.591,1.009,Jose,Abreu
12,KetelK MarteMarte,ARI,--,165,30,55,11,1,12,31,7,22,2,0,0.333,0.368,0.63,0.998,Ketel,Marte
13,EugenioE SuárezSuarez,CIN,--,123,24,34,4,0,11,24,30,49,2,1,0.276,0.417,0.5770000000000001,0.994,Eugenio,Suárez
14,MikeM TroutTrout,LAA,--,143,27,38,10,1,10,26,38,39,2,0,0.266,0.429,0.5589999999999999,0.989,Mike,Trout
15,CodyC BellingerBellinger,LAD,--,193,36,54,7,0,18,44,34,38,5,1,0.28,0.386,0.596,0.982,Cody,Bellinger
16,RhysR HoskinsHoskins,PHI,--,138,27,36,9,1,9,27,45,38,1,0,0.261,0.444,0.536,0.98,Rhys,Hoskins
17,CarlosC SantanaSantana,CLE,--,185,34,60,9,0,11,40,34,34,2,0,0.324,0.428,0.551,0.979,Carlos,Santana
18,MiguelM CabreraCabrera,DET,--,97,10,33,9,0,4,20,13,22,0,0,0.34,0.414,0.557,0.971,Miguel,Cabrera
19,JavierJ BáezBaez,CHC,--,102,27,31,4,2,8,17,8,30,8,2,0.304,0.348,0.618,0.966,Javier,Báez
20,PaulP GoldschmidtGoldschmidt,STL,--,104,24,28,2,1,9,24,22,24,1,1,0.269,0.394,0.5670000000000001,0.961,Paul,Goldschmidt
21,BryceB HarperHarper,PHI,--,187,35,53,11,0,15,44,22,53,2,1,0.28300000000000003,0.366,0.583,0.949,Bryce,Harper
22,HanserH AlbertoAlberto,BAL,--,221,31,88,11,2,5,20,6,25,2,3,0.398,0.414,0.534,0.948,Hanser,Alberto
23,WilsonW RamosRamo,NYM,--,107,16,37,4,0,5,20,15,15,0,0,0.34600000000000003,0.423,0.523,0.946,Wilson,Ramo
24,TommyT PhamPham,TB,--,159,27,54,13,0,3,12,37,35,8,2,0.34,0.467,0.478,0.945,Tommy,Pham
25,PeteP AlonsoAlonso,NYM,--,150,26,36,8,1,14,35,24,57,0,0,0.24,0.354,0.5870000000000001,0.941,Pete,Alonso
26,CharlieC BlackmonBlackmon,COL,--,215,42,66,15,1,14,29,12,42,0,1,0.307,0.359,0.581,0.94,Charlie,Blackmon
27,JustinJ TurnerTurner,LAD,--,160,27,46,11,0,12,23,15,35,0,0,0.28800000000000003,0.358,0.581,0.939,Justin,Turner
28,NickN AhmedAhmed,ARI,--,141,26,44,15,1,6,24,16,23,1,0,0.312,0.377,0.56,0.938,Nick,Ahmed
29,ChristianC YelichYelich,MIL,--,173,32,48,10,1,12,24,25,37,9,0,0.277,0.381,0.555,0.936,Christian,Yelich
30,MarcusM SemienSemien,OAK,--,178,31,55,14,3,7,22,25,24,0,3,0.309,0.394,0.539,0.933,Marcus,Semien
31,RyanR BraunBraun,MIL,--,157,22,45,13,1,10,25,16,27,3,0,0.287,0.36,0.573,0.933,Ryan,Braun
32,TrevorT StoryStory,COL,--,172,27,54,14,1,9,24,13,49,8,4,0.314,0.369,0.564,0.933,Trevor,Story
33,YasmaniY GrandalGranda,MIL,--,155,26,40,7,1,11,25,37,43,2,0,0.258,0.397,0.529,0.926,Yasmani,Granda
34,KhrisK DavisDavis,OAK,--,130,25,37,0,0,11,25,19,28,0,0,0.285,0.38,0.5379999999999999,0.918,Khris,Davis
35,HunterH DozierDozier,KC,--,121,19,34,4,2,8,20,17,33,0,2,0.281,0.37,0.545,0.915,Hunter,Dozier
36,XanderX BogaertsBogaerts,BOS,--,165,31,48,13,0,10,37,18,35,2,0,0.29100000000000004,0.359,0.552,0.91,Xander,Bogaerts
37,TreyT ManciniMancini,BAL,--,191,40,53,15,0,12,26,22,47,0,0,0.277,0.365,0.545,0.91,Trey,Mancini
38,JeanJ SeguraSegura,PHI,--,135,34,39,17,1,6,18,9,17,1,1,0.289,0.342,0.563,0.905,Jean,Segura
39,GeorgeG SpringerSpringer,HOU,--,125,25,34,3,1,8,18,24,32,2,1,0.272,0.399,0.504,0.903,George,Springer
40,GleyberG TorresTorres,NYY,--,140,27,40,9,0,9,23,15,37,0,1,0.28600000000000003,0.359,0.5429999999999999,0.902,Gleyber,Torres
41,RonaldR AcuñaAcuna,ATL,--,126,29,34,2,1,10,24,15,38,5,2,0.27,0.361,0.54,0.901,Ronald,Acuña
42,ChristianC VázquezVazque,BOS,--,158,30,45,10,0,11,28,13,26,2,0,0.285,0.337,0.557,0.894,Christian,Vázque
