,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,FIRSTNAME,LASTNAME
0,ChristianC YelichYelich,MIL,--,316,68,113,19,2,32,73,55,81,21,2,0.358,0.455,0.7340000000000001,1.189,Christian,Yelich
1,MikeM TroutTrout,LAA,--,327,83,99,17,1,35,78,72,81,9,2,0.303,0.442,0.682,1.124,Mike,Trout
2,CodyC BellingerBellinger,LAD,--,365,85,116,27,3,29,71,61,70,10,4,0.318,0.417,0.647,1.063,Cody,Bellinger
3,FreddieF FreemanFreeman,ATL,--,436,83,135,28,2,30,97,76,83,6,3,0.31,0.416,0.589,1.005,Freddie,Freeman
4,JoshJ BellBell,PIT,--,384,76,114,32,3,28,91,57,76,0,0,0.297,0.387,0.615,1.002,Josh,Bell
5,JuanJ SotoSoto,WSH,--,356,82,100,20,2,28,77,80,89,9,1,0.281,0.416,0.584,1.0,Juan,Soto
6,GeorgeG SpringerSpringer,HOU,--,354,71,106,17,2,31,78,43,81,4,1,0.299,0.377,0.621,0.999,George,Springer
7,RafaelR DeversDevers,BOS,--,439,92,145,39,4,25,86,42,77,8,7,0.33,0.388,0.608,0.996,Rafael,Devers
8,AnthonyA RendonRendon,WSH,--,409,79,131,35,2,24,100,54,59,2,1,0.32,0.404,0.5920000000000001,0.996,Anthony,Rendon
9,0KetelK MarteMarte2,ARI,--,404,67,132,25,8,20,61,46,64,8,2,0.327,0.396,0.5770000000000001,0.973,0Ketel,Marte
10,NelsonN CruzCruz,MIN,--,339,55,104,21,0,25,79,36,102,0,1,0.307,0.381,0.59,0.97,Nelson,Cruz
11,AnthonyA RizzoRizzo,CHC,--,388,70,119,24,3,21,64,56,66,4,1,0.307,0.416,0.546,0.962,Anthony,Rizzo
12,AustinA MeadowsMeadows,TB,--,363,66,108,21,4,24,57,45,78,10,5,0.298,0.384,0.5760000000000001,0.96,Austin,Meadows
13,MattM OlsonOlson,OAK,--,326,51,94,19,0,25,64,42,97,0,0,0.28800000000000003,0.38,0.5770000000000001,0.956,Matt,Olson
14,JeffJ McNeilMcNeil,NYM,--,369,66,118,28,1,20,59,26,55,2,4,0.32,0.387,0.564,0.95,Jeff,McNeil
