last_name, first_name,year,pitch_hand,n,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break,
Wilson, Bryse,2020,R,313,62.9,93.9,2145,17.3,25.5,86.1,2190,10.7,11.5,86.9,1675,14.5,
Walker, Taijuan,2020,R,882,71.2,90.7,2216,16,10.0,74.6,2454,18.1,18.7,89,1694,16.5,
Waguespack, Jacob,2020,R,397,70.2,91.3,1970,16,10.8,75.8,2132,8.1,18.8,82.3,1325,12.9,
Urquidy, Jose,2020,R,429,54.5,93.1,2216,21,24.9,78.1,2574,17.2,20.5,84.3,1962,19.6,
Turnbull, Spencer,2020,R,963,65.9,94.1,2434,13.3,24.9,84.4,2555,8.6,9.1,87.2,1878,17.4,
Suter, Brent,2020,L,516,79.2,85.5,2157,13.1,7.1,73.2,2229,13,13.5,81.1,1591,15.9,
Suero, Wander,2020,R,369,81.5,91,2462,13.4,5.1,77,2872,18.1,13.2,86.1,2073,13.9,
Stashak, Cody,2020,R,223,55.1,91.9,2234,20.2,40.8,82,2255,11,4.0,85.9,1470,16.3,
Smith, Will,2020,L,237,44.3,92.6,2256,17.7,55.6,81,2298,9.2,,,,,
Shreve, Chasen,2020,L,422,51.1,91.7,2399,20.8,8.0,79.8,2377,9.6,40.7,83.3,1252,14.5,
Shoemaker, Matt,2020,R,446,44.1,92,2190,19.1,23.3,80.2,2042,7.3,32.5,85.4,1231,11.6,
Ryu, Hyun Jin,2020,L,1132,58.9,87.9,2001,13.2,13.2,72.4,2539,19.1,27.8,79.6,1478,15,
Roark, Tanner,2020,R,901,54.4,90.6,2070,18.9,32.6,79.1,2443,13.4,12.8,81,1515,15.2,
Rasmussen, Drew,2020,R,302,68.2,97.6,2454,19.1,27.8,84.9,2721,8.6,3.9,89.7,1740,17.9,
Pressly, Ryan,2020,R,353,37.1,94.6,2533,16,62.8,86.3,2924,10.5,,,,,
Perdomo, Luis,2020,R,276,43.1,93.9,1949,17.9,34.7,86.3,2335,2.5,22.1,88.4,1676,15.4,
Peralta, Freddy,2020,R,495,73.5,93,2416,17.4,26.4,79.6,2366,15.4,,,,,
Pearson, Nate,2020,R,324,50.6,96.3,2306,19.3,42.5,83.4,2607,8.7,6.7,87.7,1833,16,
Patino, Luis,2020,R,349,64.7,96.7,2468,17.2,17.4,84.6,2650,11.6,17.7,89.1,1881,15.9,
Oswalt, Corey,2020,R,223,53.8,92.1,2155,19.3,27.3,87.4,2166,5.9,18.8,85.8,1642,12.1,
Newcomb, Sean,2020,L,300,54.0,93.4,2307,17.2,26.0,77.9,2838,18.1,20.0,87,1570,13.9,
Morgan, Adam,2020,L,219,33.7,91.5,2302,20,49.3,81.1,2766,10.4,16.8,83.5,1803,16.8,
Miller, Andrew,2020,L,205,40.0,90.2,2106,15.6,60.0,80.1,2605,13,,,,,
Mengden, Daniel,2020,R,231,78.3,87.9,2250,17,9.0,73,2573,19.3,12.5,82.8,1968,18.4,
Matz, Steven,2020,L,633,53.7,94.5,2230,19.6,19.7,80.5,2360,14.7,26.5,84.8,2276,16.6,
Maeda, Kenta,2020,R,986,28.4,91,2271,16.7,42.0,82.5,2513,8.8,29.4,84.5,1507,13,
Lopez, Yoan,2020,R,285,54.7,95.4,2092,16.3,45.2,85.7,2460,6.9,,,,,
Lopez, Pablo,2020,R,903,63.1,93.3,2106,15,6.9,78.7,2442,16.6,29.9,87.2,1969,17.1,
LeBlanc, Wade,2020,L,365,52.0,85.1,1908,13.7,12.8,73,2269,14.3,35.0,78.9,1595,16.2,
Kelly, Merrill,2020,R,473,62.3,91.6,2384,16.4,22.1,81.2,2614,14.4,15.4,87.5,1999,18,
Keller, Brad,2020,R,858,59.7,92.7,2297,13.3,38.2,84.6,2590,8.6,1.9,88.7,1965,11.3,
Iglesias, Raisel,2020,R,361,45.9,96.1,2423,18.7,33.2,84.8,2613,11.1,20.7,89.2,1947,16.8,
Hughes, Jared,2020,R,412,59.2,91.4,2026,15.4,26.4,80.8,2050,14.4,14.3,84.3,1553,10.1,
Hoyt, James,2020,R,244,31.1,88.3,2290,19.8,67.2,80.5,2744,3.2,1.6,84.5,1672,16.3,
Hill, Cam,2020,R,291,48.4,92.1,2301,17.8,51.5,82.2,2655,13.5,,,,,
Hembree, Heath,2020,R,363,57.8,93.9,2501,20,42.1,86.1,2728,9.3,,,,,
Heaney, Andrew,2020,L,1085,57.7,91.5,2436,21,24.7,79.2,2550,7.2,17.4,83,2005,18.3,
Hall, Matt,2020,L,210,65.7,86.8,2399,11.4,31.4,75.8,2477,19.5,2.8,80.3,1779,14.9,
Hale, David,2020,R,282,53.1,92.8,2259,15.7,15.6,81.6,2293,7,31.2,82.6,1634,15.4,
Goody, Nick,2020,R,246,43.0,91.6,2196,19.6,56.9,81.5,2329,8.4,,,,,
Gray, Sonny,2020,R,968,51.9,93,2470,16.1,43.8,81.6,2906,19,4.2,90,2241,18.6,
