last_name, first_name,year,player_age,pitch_hand,fastball_avg_speed,fastball_avg_spin,fastball_avg_break,breaking_avg_speed,breaking_avg_spin,breaking_avg_break,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break,
Stroman, Marcus,2019,28,R,91.9,2452,10.9,85.4,2833,11.8,87,1929,15.8,
Sanchez, Anibal,2019,35,R,89.3,2251,16.1,78.9,2180,5.8,82.1,1670,15.9,
Morton, Charlie,2019,36,R,92.8,2237,16.7,78.6,2886,20.9,84.9,2124,20.4,
Lester, Jon,2019,35,L,89.1,2302,14,74.5,2606,12.6,84.3,1939,15.3,
Leake, Mike,2019,32,R,87.6,2131,9.9,79.9,2533,11.9,84,1719,12.9,
Hudson, Dakota,2019,25,R,93.6,2141,14.4,85.9,2364,6,88.1,1459,14.1,
Boyd, Matthew,2019,28,L,92,2381,18.2,78.9,2363,6.5,79.1,1956,16.3,
Scherzer, Max,2019,35,R,94.2,2470,17.4,83.5,2472,6.8,84.3,1551,16.1,
Ray, Robbie,2019,28,L,92.4,2243,19.7,83.3,2110,5,,,,
Gray, Sonny,2019,30,R,93.2,2493,15.3,83.1,2934,18.5,89.7,2047,16.3,
Fiers, Mike,2019,34,R,90.3,2297,20.8,79.9,2630,16,84.1,1933,18,
Castillo, Luis,2019,27,R,96.4,2130,18.7,85.9,2330,2.1,87.2,1972,17.3,
Bumgarner, Madison,2019,30,L,89.6,2441,13.9,78.8,2645,12.8,84.2,1641,15.9,
Buehler, Walker,2019,25,R,95.9,2491,17.1,84,2891,15.1,91.5,1516,14.5,
Bieber, Shane,2019,24,R,93.1,2254,19.7,84,2341,7.2,87.6,1725,17.5,
Anderson, Brett,2019,31,L,90.3,1867,15.9,80.5,2386,11.5,82.6,1481,15.9,
Ryu, Hyun Jin,2019,32,L,89.4,2064,14.1,72.8,2568,18.5,80,1487,13.9,
Hendricks, Kyle,2019,30,R,86.9,1987,16.3,71.4,2784,19.6,78.6,2115,17.3,
Eflin, Zach,2019,25,R,93.5,2149,16.9,85.7,2272,8.7,86.7,1787,16.4,
DeSclafani, Anthony,2019,29,R,94.7,2196,18.8,87.1,2217,8.1,88.5,1535,15.2,
Wheeler, Zack,2019,29,R,96.7,2299,18.9,87.6,2473,9.5,88.9,1736,15.9,
Wainwright, Adam,2019,38,R,88,2238,12.9,74.9,2752,22.1,83.9,1769,16.9,
Porcello, Rick,2019,31,R,90.4,2370,18.3,80.4,2660,10.6,80.8,1600,16.2,
Nola, Aaron,2019,26,R,92.8,2162,18.5,79.1,2574,18.4,85.8,1570,15.6,
Giolito, Lucas,2019,25,R,94.2,2333,19.8,83.4,2140,9,81.7,1563,16.3,
Fried, Max,2019,25,L,93.8,2072,12.9,78.1,2737,18,84.8,1514,13.4,
Berrios, Jose,2019,25,R,92.7,2156,18,81.2,2334,17.4,82.5,1705,15.1,
Soroka, Mike,2019,22,R,92.4,2231,17,83.2,2776,7.8,81.2,2178,19.1,
Perez, Martin,2019,28,L,91.7,2178,14.3,79.2,2637,8.5,85.3,1795,18,
Musgrove, Joe,2019,27,R,91.9,2404,12.8,82.9,2519,12.1,85.3,2001,9.2,
Miley, Wade,2019,33,L,88.3,2229,11.9,76.1,2425,13.8,81.2,1869,18.5,
Marquez, German,2019,24,R,95.4,2207,15.6,86.1,2540,4.8,87.8,1969,17.5,
Lucchesi, Joey,2019,26,L,90.2,2219,17.2,,,,78.9,2091,3,
Greinke, Zack,2019,36,R,89.9,2318,16.9,77.4,2481,12.3,87.3,1779,13.2,
Cole, Gerrit,2019,29,R,97.1,2529,21.7,86.6,2736,11.2,88.6,1870,19.5,
Bailey, Homer,2019,33,R,92.9,2090,17.1,83.9,1872,9.1,84.1,1125,9.3,
deGrom, Jacob,2019,31,R,96.9,2385,17.4,91.8,2460,7.6,90.3,1703,14.4,
Teheran, Julio,2019,28,R,89.6,2352,14.7,80.4,2643,7.4,83.6,1704,16.8,
Strasburg, Stephen,2019,31,R,93.8,2152,18.2,81.3,2767,15.2,87.7,1679,15.9,
Roark, Tanner,2019,33,R,92,2113,19,82.4,2436,11.8,84.1,1701,17.3,
Nova, Ivan,2019,32,R,91.3,2181,16.4,79.9,2258,7.2,86.2,2000,18.2,
Minor, Mike,2019,32,L,92.5,2650,16.2,84.3,2660,9,86.2,2287,21.2,
Mikolas, Miles,2019,31,R,93.6,2268,17.1,82.9,2451,11.1,87.8,1705,15.9,
Kershaw, Clayton,2019,31,L,90.3,2477,19.3,82.9,2606,11.8,85.2,2210,21.5,
Kelly, Merrill,2019,31,R,91.3,2403,14.8,80.6,2683,15.9,86,2109,18.5,
Keller, Brad,2019,24,R,93.3,2221,14.5,84.9,2510,8.9,87.8,1698,10.3,
Junis, Jakob,2019,27,R,91.5,2026,15.6,81.4,2490,15.3,84.6,1336,7.5,
Corbin, Patrick,2019,30,L,91.8,2227,18.2,80.5,2363,4.3,81.8,1646,15.1,
Verlander, Justin,2019,36,R,94.6,2577,23,84.5,2690,10.4,86.9,1866,19.5,
Tanaka, Masahiro,2019,31,R,91.1,2108,18.3,82.7,2390,8,86.8,1589,14,
Samardzija, Jeff,2019,34,R,90.8,2559,16.4,83.6,2455,8.4,82.3,1451,13.3,
Alcantara, Sandy,2019,24,R,95.5,2374,18.4,84.8,2479,6.1,89.1,1923,17,
Syndergaard, Noah,2019,27,R,97.6,2151,16.6,85.7,2219,7.7,91.1,1689,17.8,
Rodriguez, Eduardo,2019,26,L,91.9,2191,15.1,83.3,2252,7.1,87.6,2047,18.6,
Quintana, Jose,2019,30,L,91.3,2000,17.3,77,2215,12,86.5,1287,13.4,
Lynn, Lance,2019,32,R,93.2,2467,14.1,81.2,2352,12.6,86.9,1811,14.4,
Lopez, Reynaldo,2019,25,R,95.4,2137,18.3,82.5,2109,5.4,84,1610,16.3,
Gonzales, Marco,2019,27,L,87.6,2250,16.7,76.3,2346,14.8,81.2,2171,19.7,
Flaherty, Jack,2019,24,R,93.8,2178,15,82.8,2423,11.1,86.2,1700,13.6,
Darvish, Yu,2019,33,R,90.5,2533,11.8,80.7,2690,17.1,88.1,1426,9.3,
Bauer, Trevor,2019,28,R,91.7,2457,16,79.3,2626,20,86,1697,18.2,
