,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,caret-upcaret-downOPS
0,1J.D.J MartinezMartinezLF1‌‌‌,BOS,--,141,38,57,9,1,19,40,25,31,1,0,0.40399999999999997,0.494,0.887,1.381
1,2NelsonN CruzCruzDH2‌‌‌,MIN,--,115,26,37,5,0,16,29,20,29,0,0,0.322,0.424,0.7829999999999999,1.207
2,3AlexA BregmanBregman3B3‌‌‌,HOU,--,163,36,57,14,1,16,38,28,23,1,0,0.35,0.44299999999999995,0.742,1.186
3,4NickN CastellanosCastellanosRF4‌‌‌,CHC,--,108,22,40,13,0,8,19,10,16,0,0,0.37,0.425,0.713,1.138
4,5OzzieO AlbiesAlbies2B5‌‌‌,ATL,--,149,29,58,9,1,11,33,6,20,3,0,0.389,0.414,0.685,1.099
5,6MannyM MachadoMachado3B6‌‌‌,SD,--,127,19,40,6,1,13,27,18,26,2,2,0.315,0.40399999999999997,0.685,1.089
6,7DJD LeMahieuLeMahieu2B7‌‌‌,NYY,--,160,32,60,11,0,10,31,17,23,3,1,0.375,0.435,0.631,1.0659999999999998
7,8JoseJ AltuveAltuve2B8‌‌‌,HOU,--,130,27,43,10,1,11,22,9,16,2,1,0.331,0.38,0.677,1.057
8,9KrisK BryantBryant3B9‌‌‌,CHC,--,105,23,31,6,1,9,20,23,28,1,0,0.295,0.426,0.629,1.055
9,10AnthonyA RendonRendon3B10‌‌‌,WSH,--,136,38,43,9,1,10,26,26,27,3,0,0.316,0.433,0.618,1.05
10,11NolanN ArenadoArenado3B11‌‌‌,COL,--,162,34,51,7,1,13,30,27,29,1,2,0.315,0.41600000000000004,0.611,1.0270000000000001
11,12JoseJ AbreuAbreu1B12‌‌‌,CWS,--,164,27,59,11,0,9,31,12,31,0,1,0.36,0.418,0.591,1.0090000000000001
12,13KetelK MarteMarte2B13‌‌‌,ARI,--,165,30,55,11,1,12,31,7,22,2,0,0.33299999999999996,0.368,0.63,0.998
13,14EugenioE SuárezSuarez3B14‌‌‌,CIN,--,123,24,34,4,0,11,24,30,49,2,1,0.276,0.41700000000000004,0.5770000000000001,0.9940000000000001
14,15MikeM TroutTroutCF15‌‌‌,LAA,--,143,27,38,10,1,10,26,38,39,2,0,0.266,0.429,0.5589999999999999,0.9890000000000001
15,16CodyC BellingerBellingerRF16‌‌‌,LAD,--,193,36,54,7,0,18,44,34,38,5,1,0.28,0.386,0.596,0.982
16,17RhysR HoskinsHoskins1B17‌‌‌,PHI,--,138,27,36,9,1,9,27,45,38,1,0,0.261,0.444,0.536,0.98
17,18CarlosC SantanaSantana1B18‌‌‌,CLE,--,185,34,60,9,0,11,40,34,34,2,0,0.324,0.428,0.551,0.9790000000000001
18,19MiguelM CabreraCabrera1B19‌‌‌,DET,--,97,10,33,9,0,4,20,13,22,0,0,0.34,0.414,0.557,0.971
19,20JavierJ BáezBaezSS20‌‌‌,CHC,--,102,27,31,4,2,8,17,8,30,8,2,0.304,0.348,0.618,0.966
20,21PaulP GoldschmidtGoldschmidt1B21‌‌‌,STL,--,104,24,28,2,1,9,24,22,24,1,1,0.26899999999999996,0.39399999999999996,0.5670000000000001,0.961
21,22BryceB HarperHarperRF22‌‌‌,PHI,--,187,35,53,11,0,15,44,22,53,2,1,0.28300000000000003,0.366,0.583,0.9490000000000001
22,23HanserH AlbertoAlberto2B23‌‌‌,BAL,--,221,31,88,11,2,5,20,6,25,2,3,0.39799999999999996,0.414,0.534,0.948
23,24WilsonW RamosRamosC24‌‌‌,NYM,--,107,16,37,4,0,5,20,15,15,0,0,0.34600000000000003,0.423,0.523,0.946
24,25TommyT PhamPhamLF25‌‌‌,TB,--,159,27,54,13,0,3,12,37,35,8,2,0.34,0.467,0.478,0.945
0,26PeteP AlonsoAlonso1B26‌‌‌,NYM,--,150,26,36,8,1,14,35,24,57,0,0,0.24,0.354,0.5870000000000001,0.941
1,27CharlieC BlackmonBlackmonRF27‌‌‌,COL,--,215,42,66,15,1,14,29,12,42,0,1,0.307,0.359,0.581,0.94
2,28JustinJ TurnerTurner3B28‌‌‌,LAD,--,160,27,46,11,0,12,23,15,35,0,0,0.28800000000000003,0.358,0.581,0.9390000000000001
3,29NickN AhmedAhmedSS29‌‌‌,ARI,--,141,26,44,15,1,6,24,16,23,1,0,0.312,0.377,0.56,0.938
4,30ChristianC YelichYelichRF30‌‌‌,MIL,--,173,32,48,10,1,12,24,25,37,9,0,0.27699999999999997,0.381,0.555,0.9359999999999999
5,31MarcusM SemienSemienSS31‌‌‌,OAK,--,178,31,55,14,3,7,22,25,24,0,3,0.309,0.39399999999999996,0.539,0.9329999999999999
6,32RyanR BraunBraunLF32‌‌‌,MIL,--,157,22,45,13,1,10,25,16,27,3,0,0.287,0.36,0.573,0.9329999999999999
7,33TrevorT StoryStorySS33‌‌‌,COL,--,172,27,54,14,1,9,24,13,49,8,4,0.314,0.369,0.564,0.9329999999999999
8,34YasmaniY GrandalGrandalC34‌‌‌,MIL,--,155,26,40,7,1,11,25,37,43,2,0,0.258,0.397,0.529,0.9259999999999999
9,35KhrisK DavisDavisLF35‌‌‌,OAK,--,130,25,37,0,0,11,25,19,28,0,0,0.285,0.38,0.5379999999999999,0.9179999999999999
10,36HunterH DozierDozier3B36‌‌‌,KC,--,121,19,34,4,2,8,20,17,33,0,2,0.281,0.37,0.545,0.915
11,37XanderX BogaertsBogaertsSS37‌‌‌,BOS,--,165,31,48,13,0,10,37,18,35,2,0,0.29100000000000004,0.359,0.552,0.91
12,38TreyT ManciniManciniRF38‌‌‌,BAL,--,191,40,53,15,0,12,26,22,47,0,0,0.27699999999999997,0.365,0.545,0.91
13,39JeanJ SeguraSeguraSS39‌‌‌,PHI,--,135,34,39,17,1,6,18,9,17,1,1,0.289,0.342,0.563,0.905
14,40GeorgeG SpringerSpringerRF40‌‌‌,HOU,--,125,25,34,3,1,8,18,24,32,2,1,0.272,0.39899999999999997,0.504,0.903
15,41GleyberG TorresTorresSS41‌‌‌,NYY,--,140,27,40,9,0,9,23,15,37,0,1,0.28600000000000003,0.359,0.5429999999999999,0.902
16,42RonaldR AcuñaAcunaLF42‌‌‌,ATL,--,126,29,34,2,1,10,24,15,38,5,2,0.27,0.361,0.54,0.9009999999999999
17,43ChristianC VázquezVazquezC43‌‌‌,BOS,--,158,30,45,10,0,11,28,13,26,2,0,0.285,0.337,0.557,0.894
18,44MaxM MuncyMuncy1B44‌‌‌,LAD,--,157,30,42,6,1,11,38,19,52,2,1,0.268,0.365,0.529,0.893
19,45AmedA RosarioRosarioSS45‌‌‌,NYM,--,148,29,46,12,1,6,18,12,32,3,2,0.311,0.36,0.527,0.887
20,46EduardoE EscobarEscobar3B46‌‌‌,ARI,--,191,30,57,12,2,11,35,8,35,1,0,0.298,0.327,0.555,0.882
