,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,caret-upcaret-downOPS
0,1ChristianC YelichYelichRF1‌‌‌,MIL,--,316,68,113,19,2,32,73,55,81,21,2,0.358,0.455,0.7340000000000001,1.189
1,2MikeM TroutTroutCF2‌‌‌,LAA,--,327,83,99,17,1,35,78,72,81,9,2,0.303,0.442,0.682,1.124
2,3CodyC BellingerBellingerRF3‌‌‌,LAD,--,365,85,116,27,3,29,71,61,70,10,4,0.318,0.41700000000000004,0.647,1.063
3,4FreddieF FreemanFreeman1B4‌‌‌,ATL,--,436,83,135,28,2,30,97,76,83,6,3,0.31,0.41600000000000004,0.589,1.005
4,5JoshJ BellBell1B5‌‌‌,PIT,--,384,76,114,32,3,28,91,57,76,0,0,0.297,0.387,0.615,1.002
5,6JuanJ SotoSotoLF6‌‌‌,WSH,--,356,82,100,20,2,28,77,80,89,9,1,0.281,0.41600000000000004,0.584,1.0
6,7GeorgeG SpringerSpringerRF7‌‌‌,HOU,--,354,71,106,17,2,31,78,43,81,4,1,0.299,0.377,0.621,0.9990000000000001
7,8RafaelR DeversDevers3B8‌‌‌,BOS,--,439,92,145,39,4,25,86,42,77,8,7,0.33,0.38799999999999996,0.608,0.996
8,9AnthonyA RendonRendon3B9‌‌‌,WSH,--,409,79,131,35,2,24,100,54,59,2,1,0.32,0.40399999999999997,0.5920000000000001,0.996
9,10KetelK MarteMarte2B10‌‌‌,ARI,--,404,67,132,25,8,20,61,46,64,8,2,0.327,0.396,0.5770000000000001,0.973
10,11NelsonN CruzCruzDH11‌‌‌,MIN,--,339,55,104,21,0,25,79,36,102,0,1,0.307,0.381,0.59,0.97
11,12AnthonyA RizzoRizzo1B12‌‌‌,CHC,--,388,70,119,24,3,21,64,56,66,4,1,0.307,0.41600000000000004,0.546,0.9620000000000001
12,13AustinA MeadowsMeadowsRF13‌‌‌,TB,--,363,66,108,21,4,24,57,45,78,10,5,0.298,0.384,0.5760000000000001,0.96
13,14MattM OlsonOlson1B14‌‌‌,OAK,--,326,51,94,19,0,25,64,42,97,0,0,0.28800000000000003,0.38,0.5770000000000001,0.956
14,15JeffJ McNeilMcNeilLF15‌‌‌,NYM,--,369,66,118,28,1,20,59,26,55,2,4,0.32,0.387,0.564,0.95
15,16XanderX BogaertsBogaertsSS16‌‌‌,BOS,--,449,79,142,39,0,23,80,58,87,2,2,0.316,0.39299999999999996,0.557,0.95
16,17YoanY MoncadaMoncada3B17‌‌‌,CWS,--,357,64,115,19,3,21,54,31,105,7,1,0.322,0.377,0.569,0.945
17,18MookieM BettsBettsRF18‌‌‌,BOS,--,431,98,131,27,5,23,67,67,79,15,3,0.304,0.395,0.55,0.945
18,19AlexA BregmanBregman3B19‌‌‌,HOU,--,391,86,107,23,1,25,74,91,60,4,1,0.27399999999999997,0.415,0.529,0.945
19,20PeteP AlonsoAlonso1B20‌‌‌,NYM,--,447,77,119,22,1,39,85,48,126,1,0,0.266,0.359,0.5820000000000001,0.941
20,21CharlieC BlackmonBlackmonRF21‌‌‌,COL,--,365,70,116,27,6,18,57,28,62,2,4,0.318,0.368,0.573,0.94
21,22JorgeJ SolerSolerRF22‌‌‌,KC,--,446,71,119,25,0,39,87,54,133,1,1,0.267,0.354,0.585,0.9390000000000001
22,23NolanN ArenadoArenado3B23‌‌‌,COL,--,426,68,134,24,1,28,88,35,64,2,0,0.315,0.364,0.573,0.937
23,24BryanB ReynoldsReynoldsLF24‌‌‌,PIT,--,347,63,116,27,4,11,51,37,85,3,2,0.33399999999999996,0.401,0.53,0.9309999999999999
24,25MichaelM BrantleyBrantleyLF25‌‌‌,HOU,--,412,71,133,32,2,19,68,36,39,2,0,0.32299999999999995,0.38,0.5489999999999999,0.9279999999999999
0,26MichaelM ConfortoConfortoRF26‌‌‌,NYM,--,375,73,99,22,1,27,66,69,99,6,1,0.264,0.382,0.544,0.9259999999999999
1,27JocJ PedersonPedersonLF27‌‌‌,LAD,--,401,77,101,14,3,36,73,49,96,1,1,0.252,0.349,0.5710000000000001,0.92
2,28JoshJ DonaldsonDonaldson3B28‌‌‌,ATL,--,428,73,116,26,0,30,79,68,113,3,2,0.271,0.375,0.542,0.917
3,29YuliY GurrielGurriel1B29‌‌‌,HOU,--,406,62,130,25,1,24,81,19,53,3,2,0.32,0.35200000000000004,0.564,0.9159999999999999
4,30TrevorT StoryStorySS30‌‌‌,COL,--,416,84,119,24,4,26,61,45,125,15,4,0.28600000000000003,0.36,0.55,0.9109999999999999
5,31EugenioE SuárezSuarez3B31‌‌‌,CIN,--,452,63,122,18,2,38,79,40,140,1,1,0.27,0.34,0.5710000000000001,0.9109999999999999
6,32KyleK SchwarberSchwarberLF32‌‌‌,CHC,--,420,65,107,25,2,32,74,59,120,2,3,0.255,0.348,0.552,0.9
7,33TreyT ManciniManciniRF33‌‌‌,BAL,--,411,66,122,23,2,23,71,41,96,1,0,0.297,0.363,0.53,0.894
8,34FranciscoF LindorLindorSS34‌‌‌,CLE,--,400,63,119,29,2,24,50,23,66,14,4,0.298,0.33299999999999996,0.56,0.893
9,35BrettB GardnerGardnerCF35‌‌‌,NYY,--,359,67,95,20,6,23,57,43,76,10,1,0.265,0.34600000000000003,0.546,0.892
10,36JorgeJ PolancoPolancoSS36‌‌‌,MIN,--,435,82,133,30,6,16,55,50,73,3,2,0.306,0.37799999999999995,0.513,0.8909999999999999
11,37MaxM MuncyMuncy1B37‌‌‌,LAD,--,330,71,80,16,0,24,60,71,97,2,0,0.242,0.377,0.509,0.8859999999999999
12,38Shin-SooS ChooChooLF38‌‌‌,TEX,--,397,67,111,27,2,18,42,64,112,11,1,0.28,0.39299999999999996,0.494,0.8859999999999999
13,39CarlosC SantanaSantana1B39‌‌‌,CLE,--,388,76,101,21,1,23,53,74,74,2,0,0.26,0.381,0.49700000000000005,0.879
14,40RonaldR AcuñaAcunaLF40‌‌‌,ATL,--,500,98,141,20,1,31,77,61,150,32,7,0.282,0.366,0.512,0.878
15,41CoreyC SeagerSeagerSS41‌‌‌,LAD,--,322,63,93,36,1,13,63,30,54,1,0,0.289,0.348,0.528,0.8759999999999999
16,42MarcusM SemienSemienSS42‌‌‌,OAK,--,479,92,132,29,4,26,70,62,78,10,5,0.276,0.36,0.516,0.8759999999999999
17,43TimT AndersonAndersonSS43‌‌‌,CWS,--,354,53,120,23,0,13,39,9,81,13,4,0.33899999999999997,0.36,0.514,0.8740000000000001
18,44StarlingS MarteMarteCF44‌‌‌,PIT,--,405,79,123,23,4,17,66,23,66,18,4,0.304,0.36200000000000004,0.506,0.868
19,45KrisK BryantBryant3B45‌‌‌,CHC,--,438,85,122,29,0,22,57,51,117,3,0,0.27899999999999997,0.37,0.495,0.866
20,46TreaT TurnerTurnerSS46‌‌‌,WSH,--,404,75,118,28,5,17,51,33,90,27,4,0.292,0.349,0.512,0.862
21,47GleyberG TorresTorresSS47‌‌‌,NYY,--,406,69,112,17,0,29,67,33,92,5,1,0.276,0.32899999999999996,0.532,0.861
22,48LukeL VoitVoit1B48‌‌‌,NYY,--,321,57,86,16,1,16,49,55,109,0,0,0.268,0.386,0.474,0.86
23,49DannyD SantanaSantanaOF49‌‌‌,TEX,--,329,55,94,15,5,19,54,15,100,15,4,0.28600000000000003,0.32299999999999995,0.535,0.858
24,50HunterH DozierDozier3B50‌‌‌,KC,--,402,56,112,25,8,18,64,38,115,2,0,0.27899999999999997,0.342,0.515,0.856
0,51JustinJ TurnerTurner3B51‌‌‌,LAD,--,319,53,93,13,0,15,44,36,53,2,0,0.292,0.37799999999999995,0.473,0.852
1,52BryceB HarperHarperRF52‌‌‌,PHI,--,386,63,96,25,1,20,70,77,125,13,2,0.249,0.375,0.474,0.8490000000000001
2,53JoseJ AltuveAltuve2B53‌‌‌,HOU,--,370,62,106,17,2,20,52,32,66,4,4,0.28600000000000003,0.34299999999999997,0.505,0.8490000000000001
3,54MattM ChapmanChapman3B54‌‌‌,OAK,--,429,73,109,28,2,25,66,50,112,1,1,0.254,0.344,0.503,0.848
4,55EloyE JiménezJimenezLF55‌‌‌,CWS,--,333,48,90,12,2,24,59,19,89,0,0,0.27,0.313,0.535,0.847
5,56MaxM KeplerKeplerRF56‌‌‌,MIN,--,377,77,89,25,0,27,54,47,75,1,4,0.23600000000000002,0.32799999999999996,0.517,0.845
6,57DanielD VogelbachVogelbach1B57‌‌‌,SEA,--,338,55,76,13,0,25,59,72,109,0,0,0.225,0.359,0.485,0.8440000000000001
7,58ChristianC WalkerWalker1B58‌‌‌,ARI,--,384,63,102,18,1,23,59,39,115,7,1,0.266,0.34,0.49700000000000005,0.838
8,59BrianB AndersonAnderson3B59‌‌‌,MIA,--,347,49,94,28,1,14,54,38,84,5,1,0.271,0.355,0.478,0.8340000000000001
9,60JasonJ HeywardHeywardRF60‌‌‌,CHC,--,401,69,106,16,4,19,51,60,81,8,3,0.264,0.365,0.466,0.831
10,61MikeM MoustakasMoustakas2B61‌‌‌,MIL,--,360,58,88,21,1,24,60,40,71,3,0,0.244,0.32299999999999995,0.508,0.831
11,62DJD LeMahieuLeMahieu2B62‌‌‌,NYY,--,442,77,137,22,2,16,71,29,67,2,1,0.31,0.35200000000000004,0.47700000000000004,0.83
12,63KevinK NewmanNewmanSS63‌‌‌,PIT,--,367,40,116,15,4,11,59,19,50,14,5,0.316,0.355,0.469,0.8240000000000001
13,64VladimirV Guerrero Jr.Guerrero Jr.3B64‌‌‌,TOR,--,334,35,98,21,2,11,54,31,68,0,1,0.293,0.355,0.467,0.8220000000000001
14,65JonathanJ VillarVillar2B65‌‌‌,BAL,--,415,81,116,24,4,15,48,45,110,31,4,0.28,0.354,0.465,0.8190000000000001
15,66JavierJ BáezBaezSS66‌‌‌,CHC,--,429,62,118,34,2,21,68,20,126,3,5,0.275,0.307,0.51,0.818
16,67WillyW AdamesAdamesSS67‌‌‌,TB,--,349,51,102,20,1,12,37,33,98,3,1,0.292,0.358,0.45799999999999996,0.8170000000000001
17,68KoleK CalhounCalhounRF68‌‌‌,LAA,--,387,69,93,24,1,23,47,47,118,3,1,0.24,0.33,0.486,0.816
18,69JoseJ RamírezRamirez3B69‌‌‌,CLE,--,326,45,81,24,3,16,59,37,60,17,4,0.248,0.327,0.488,0.815
19,70JoeyJ VottoVotto1B70‌‌‌,CIN,--,373,63,100,25,1,14,37,54,79,3,0,0.268,0.361,0.45299999999999996,0.8140000000000001
20,71YasmaniY GrandalGrandalC71‌‌‌,MIL,--,358,53,86,19,1,17,52,72,96,3,1,0.24,0.37200000000000005,0.441,0.8140000000000001
21,72EddieE RosarioRosarioLF72‌‌‌,MIN,--,409,70,112,17,1,27,82,14,63,3,1,0.27399999999999997,0.294,0.518,0.813
22,73J.T.J RealmutoRealmutoC73‌‌‌,PHI,--,393,66,108,24,3,17,61,32,89,5,1,0.275,0.32899999999999996,0.48100000000000004,0.81
23,74EduardoE EscobarEscobar3B74‌‌‌,ARI,--,445,64,114,17,8,24,83,42,95,4,1,0.256,0.318,0.49200000000000005,0.81
24,75WhitW MerrifieldMerrifieldRF75‌‌‌,KC,--,488,71,152,27,9,8,46,31,94,10,8,0.311,0.35700000000000004,0.45299999999999996,0.81
0,76MarcellM OzunaOzunaLF76‌‌‌,STL,--,402,66,99,19,1,23,69,56,90,12,2,0.24600000000000002,0.33899999999999997,0.47,0.809
1,77AvisailA GarcíaGarciaRF77‌‌‌,TB,--,327,39,95,18,1,13,53,17,85,10,3,0.29100000000000004,0.33399999999999996,0.47100000000000003,0.805
2,78RyanR BraunBraunLF78‌‌‌,MIL,--,302,48,86,18,1,12,50,18,78,8,1,0.285,0.33399999999999996,0.47,0.804
3,79NickN CastellanosCastellanosRF79‌‌‌,CHC,--,507,78,138,45,3,19,54,31,127,2,2,0.272,0.318,0.485,0.8029999999999999
4,80FranmilF ReyesReyesRF80‌‌‌,CLE,--,369,49,88,10,0,30,58,30,117,0,0,0.23800000000000002,0.292,0.509,0.802
5,81KoltenK WongWong2B81‌‌‌,STL,--,367,50,104,21,4,8,48,42,65,20,4,0.28300000000000003,0.369,0.428,0.797
6,82AdamA EatonEatonRF82‌‌‌,WSH,--,428,76,118,18,4,13,39,53,78,11,1,0.276,0.366,0.428,0.794
7,83J.D.J MartinezMartinezLF83‌‌‌,BOS,--,434,60,118,24,1,17,65,47,107,1,0,0.272,0.344,0.449,0.7929999999999999
8,84PaulP GoldschmidtGoldschmidt1B84‌‌‌,STL,--,493,73,127,23,0,25,73,56,142,2,0,0.258,0.335,0.456,0.7909999999999999
9,85AsdrubalA CabreraCabrera3B85‌‌‌,WSH,--,330,56,85,17,1,15,68,38,83,3,0,0.258,0.337,0.452,0.7879999999999999
10,86JackieJ Bradley Jr.Bradley Jr.CF86‌‌‌,BOS,--,330,50,76,20,3,17,46,40,99,5,5,0.23,0.324,0.46399999999999997,0.787
11,87YasielY PuigPuigRF87‌‌‌,CLE,--,419,59,110,24,2,19,61,30,103,16,6,0.263,0.317,0.465,0.7829999999999999
12,88PaulP DeJongDeJongSS88‌‌‌,STL,--,470,78,111,24,1,27,68,47,116,6,5,0.23600000000000002,0.318,0.46399999999999997,0.782
13,89AdamA FrazierFrazier2B89‌‌‌,PIT,--,411,66,117,25,5,9,39,31,53,5,3,0.285,0.34600000000000003,0.436,0.7809999999999999
14,90EricE HosmerHosmer1B90‌‌‌,SD,--,463,60,128,20,1,21,83,29,130,0,3,0.276,0.321,0.46,0.7809999999999999
15,91CesarC HernandezHernandez2B91‌‌‌,PHI,--,441,63,126,22,3,13,55,33,78,8,1,0.28600000000000003,0.342,0.43799999999999994,0.78
16,92OzzieO AlbiesAlbies2B92‌‌‌,ATL,--,491,73,131,34,7,13,53,48,92,12,4,0.267,0.33399999999999996,0.444,0.778
