,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,caret-upcaret-downOPS
0,1JuanJ SotoSotoLF1‌‌‌,WSH,47,154,39,54,14,0,13,37,41,28,6,2,0.35100000000000003,0.49,0.695,1.185
1,2FreddieF FreemanFreeman1B2‌‌‌,ATL,60,214,51,73,23,1,13,53,45,37,2,0,0.341,0.462,0.64,1.102
2,3MarcellM OzunaOzunaDH3‌‌‌,ATL,60,228,38,77,14,0,18,56,38,60,0,0,0.33799999999999997,0.431,0.636,1.067
3,4DJD LeMahieuLeMahieu2B4‌‌‌,NYY,50,195,41,71,10,2,10,27,18,21,3,0,0.364,0.42100000000000004,0.59,1.011
4,5JoseJ RamírezRamirez3B5‌‌‌,CLE,58,219,45,64,16,1,17,46,31,43,10,3,0.292,0.386,0.607,0.993
5,6MikeM TroutTroutCF6‌‌‌,LAA,53,199,41,56,9,2,17,46,35,56,1,1,0.281,0.39,0.603,0.993
6,7DominicD SmithSmith1B7‌‌‌,NYM,50,177,27,56,21,1,10,42,14,45,0,0,0.316,0.377,0.616,0.993
7,8NelsonN CruzCruzDH8‌‌‌,MIN,53,185,33,56,6,0,16,33,25,58,0,0,0.303,0.397,0.595,0.992
8,9RonaldR AcuñaAcunaCF9‌‌‌,ATL,46,160,46,40,11,0,14,29,38,60,8,1,0.25,0.406,0.581,0.987
9,10JoseJ AbreuAbreu1B10‌‌‌,CWS,60,240,43,76,15,0,19,60,18,59,0,0,0.317,0.37,0.617,0.987
10,11TreaT TurnerTurnerSS11‌‌‌,WSH,59,233,46,78,15,4,12,41,22,36,12,4,0.335,0.39399999999999996,0.588,0.982
11,12MikeM YastrzemskiYastrzemskiCF12‌‌‌,SF,54,192,39,57,14,4,10,35,30,55,2,1,0.297,0.4,0.568,0.968
12,13BryceB HarperHarperRF13‌‌‌,PHI,58,190,41,51,9,2,13,33,49,43,8,2,0.268,0.42,0.542,0.9620000000000001
13,14WilW MyersMyersRF14‌‌‌,SD,55,198,34,57,14,2,15,40,18,56,2,1,0.28800000000000003,0.353,0.606,0.9590000000000001
14,15MannyM MachadoMachado3B15‌‌‌,SD,60,224,44,68,12,1,16,47,26,37,6,3,0.304,0.37,0.58,0.95
15,16LukeL VoitVoit1B16‌‌‌,NYY,56,213,41,59,5,0,22,52,17,54,0,0,0.27699999999999997,0.33799999999999997,0.61,0.948
16,17CoreyC SeagerSeagerSS17‌‌‌,LAD,52,212,38,65,12,1,15,41,17,37,1,0,0.307,0.358,0.585,0.943
17,18FernandoF Tatis Jr.Tatis Jr.SS18‌‌‌,SD,59,224,50,62,11,2,17,45,27,61,11,3,0.27699999999999997,0.366,0.5710000000000001,0.937
